artist|cleaned genre|original genre
PERFECT STRANGER|progressive trance|progressive trance
CYNDI LAUPER|pop|80s
SUPER CAT|reggae|reggae
NICKI FRENCH|electronic|dance
MARTIN PAGE|country / folk|singer-songwriter
MAX-A-MILLION|electronic|dance
AMY GRANT|pop|pop
LETTERS TO CLEO|rock|rock
JEFF CARSON|country / folk|country
CROOKLYN DODGERS|hip-hop|hip-hop
ELASTICA|pop|britpop
TONY THOMPSON|rnb / soul|rnb
CHEF RAEKWON|hip-hop|hip-hop
ALISON KRAUSS & UNION STATION|bluegrass|bluegrass
CORONA|electronic|dance
VYBE|pop|90s
KUT KLOSE|rnb / soul|rnb
U.N.V.|rnb / soul|rnb
INI KAMOZE|reggae|reggae
NUTTIN' NYCE|rnb / soul|rnb
INTONATION|freestyle|freestyle
YAKI DA|pop|pop
GRAND PUBA|hip-hop|hip-hop
REDNEX|country / folk|country
PORTRAIT|rock|heavy metal
ADAM ANT|rock|new wave
JILL SOBULE|pop|female vocalists
JAMIE WALTERS|pop|pop
AARON NEVILLE|rnb / soul|soul
NEW ORDER|rock|new wave
IV XAMPLE|rnb / soul|soul
STEVIE B|freestyle|freestyle
SPANISH FLY|freestyle|freestyle
SUBWAY|electronic|electronic
FIREHOUSE|rock|hard rock
RAPPIN' 4-TAY feat. THE SPINNERS|hip-hop|hip-hop
DES'REE|rnb / soul|soul
MC SAR & THE REAL McCOY|electronic|eurodance
FOREIGNER|rock|classic rock
20 FINGERS feat GILLETTE|electronic|dance
20 FINGERS|electronic|dance
K7|hip-hop|hip-hop
KEITH MARTIN|rnb / soul|rnb
HUMAN LEAGUE|rock|new wave
95 SOUTH|dirty south|dirty south
BONNIE RAITT|rock|blues
20 FINGERS feat. ROULA|electronic|dance
DIS'N'DAT|pop|90s
DJ QUIK|rnb / soul|g-funk
TECHNOTRONIC|electronic|dance
JULIANA HATFIELD|pop|female vocalists
FABU|hip-hop|hip-hop
GENERAL PUBLIC|rock|new wave
JOHN WAITE|pop|80s
CRAIG MACK|hip-hop|hip-hop
BEATLES|rock|classic rock
LONDONBEAT|electronic|dance
2 UNLIMITED|electronic|eurodance
SHABBA RANKS|reggae|reggae
FLAMING LIPS|rock|indie
BARRY WHITE|rnb / soul|soul
JADE|electronic|drum and bass
4PM|r&b|r&b
CHANNEL LIVE|hip-hop|hip-hop
LIL' SUZY|freestyle|freestyle
AMY GRANT & VINCE GILL|pop|female vocalists
N II U|rnb / soul|soul
SIMPLE MINDS|rock|new wave
NINE|hardcore|hardcore
ANDRU DONALDS|new age|new age
PORTISHEAD|trip-hop|trip-hop
WILLI ONE BLOOD|reggae|reggae
JEWELL|pop|female vocalists
VICIOUS|rock|melodic death metal
KARYN WHITE|rnb / soul|soul
JOHN MELLENCAMP with ME'SHELL NDEGEOCELLO|rock|rock
FREDDY JOHNSTON|country / folk|singer-songwriter
PRETENDERS|rock|rock
FU-SCHNICKENS|hip-hop|hip-hop
HARRY CONNICK JR.|jazz|jazz
GROUP HOME|hip-hop|hip-hop
PETE ROCK & C.L.SMOOTH|hip-hop|hip-hop
DEADEYE DICK|rock|rock
AIMEE MANN|pop|female vocalists
FOUR SEASONS|rock|classic rock
TOAD THE WET SPROCKET|rock|alternative
HEAVY D AND THE BOYZ|hip-hop|hip-hop
JEFF FOXWORTHY|comedy|comedy
LORDS OF THE UNDERGROUND|hip-hop|hip-hop
LUCAS|psytrance|psytrance
SHAQUILLE O'NEAL|hip-hop|hip-hop
CANDLEBOX|rock|grunge
MURMURS|pop|female vocalists
URGE OVERKILL|rock|rock
LUTHER VANDROSS & MARIAH CAREY|pop|female vocalists
MAZZY STAR|pop|dream pop
TAG TEAM|hip-hop|hip-hop
HUEY LEWIS AND THE NEWS|pop|80s
TRACTORS|country / folk|country
STEVE PERRY|rock|classic rock
JOSHUA KADISON|pop|pop
DR. DRE|hip-hop|hip-hop
C+C MUSIC FACTORY|electronic|dance
SLICK RICK|hip-hop|hip-hop
MAD LION|reggae|reggae
SASS JORDAN|rock|rock
DIGABLE PLANETS|hip-hop|hip-hop
WET WET WET|pop|pop
DA YOUNGSTA'S|hip-hop|hip-hop
CECE PENISTON|electronic|dance
TOKENS|pop|oldies
TANYA BLOUNT|rnb / soul|soul
LOVE SPIT LOVE|rock|alternative
DJ MIKO|electronic|dance
WHITEHEAD BROTHERS|rnb / soul|soul
YOUSSOU N'DOUR & NENEH CHERRY|pop|pop
MEAT PUPPETS|rock|grunge
THE PUPPIES|hip-hop|hip-hop
THE LADY OF RAGE|hip-hop|hip-hop
JESUS AND MARY CHAIN|shoegaze|shoegaze
PUBLIC ENEMY|hip-hop|hip-hop
AHMAD|hip-hop|hip-hop
EDIE BRICKELL|pop|female vocalists
BLUR|pop|britpop
BLACKGIRL|pop|female vocalists
PMD|hip-hop|hip-hop
SPIN DOCTORS|rock|rock
MIRANDA|pop|pop
CRASH TEST DUMMIES|rock|rock
WARREN G & NATE DOGG|hip-hop|hip-hop
THE ARTIST|prince|prince
HOUSE OF PAIN|hip-hop|hip-hop
RAYVON|reggae|reggae
ATLANTIC STARR|rnb / soul|soul
CAUSE & EFFECT|pop|synthpop
GRAVEDIGGAZ|hip-hop|hip-hop
M PEOPLE|pop|pop
ROXETTE|pop|pop
STEVIE NICKS|pop|female vocalists
FUGEES (TRANZLATOR CREW)|hip-hop|hip-hop
TERROR FABULOUS|electronic|dancehall
THE CRANBERRIES|rock|rock
KATHY TROCCOLI|christian|christian
BOSTON|rock|classic rock
NICE & SMOOTH|hip-hop|hip-hop
C&C MUSIC FACTORY|electronic|dance
M.C. HAMMER|hip-hop|hip-hop
PUPPIES|miami bass|miami bass
ARRESTED DEVELOPMENT|hip-hop|hip-hop
FRENTE!|rock|indie
HUEY LEWIS|rock|rock
PINK FLOYD|rock|progressive rock
GABRIELLE|rnb / soul|soul
KING JUST|hip-hop|hip-hop
HEAVY D & THE BOYZ|hip-hop|hip-hop
THE B.C. 52'S|rock|new wave
SUDDEN CHANGE|rnb / soul|soul
CRACKER|rock|alternative
THE CONSCIOUS DAUGHTERS|hip-hop|hip-hop
BLACK MOON|hip-hop|hip-hop
MORRISSEY|rock|indie
SMIF-N-WESSUN|hip-hop|hip-hop
WU-TANG CLAN|hip-hop|hip-hop
JOHN MELLENCAMP & ME'SHELL NDEGEOCELLO|rock|rock
AHMAD!|hip-hop|hip-hop
LIGHTER SHADE OF BROWN|old school|old school
JULIET ROBERTS|electronic|house
SOUNDS OF BLACKNESS|gospel|gospel
SNOOP DOGGY DOGG|hip-hop|hip-hop
TONY! TONI! TONE!|rnb / soul|soul
2 IN A ROOM|electronic|house
1 TO 1|electronic|house
US 3|acid jazz|acid jazz
12 GAUGE|hip-hop|hip-hop
ETERNAL|rnb / soul|rnb
SWEET SABLE|hip-hop|hip hop
DANZIG|rock|heavy metal
SIMPLE E|jazz|jazz
DAWN PENN|reggae|reggae
EXPOSE|pop|80s
THE KNACK|rock|rock
JAMES|pop|britpop
LITTLE TEXAS|country / folk|country
HAMMER|rock|black metal
JIMMY CLIFF|reggae|reggae
HEART|rock|classic rock
SAGAT|techno|techno
THE BREEDERS|rock|alternative
2 PAC|hip-hop|rap
REEL 2 REAL|electronic|dance
SHYHEIM|hip-hop|hip-hop
DEEP FOREST|new age|new age
CONSCIOUS DAUGHTERS|hip-hop|hip-hop
COLLAGE|rock|progressive rock
HADDAWAY|electronic|dance
ELTON JOHN & RuPAUL|pop|pop
MR. BIG|rock|hard rock
CULTURE BEAT|electronic|eurodance
LISETTE MELENDEZ|freestyle|freestyle
A LIGHTER SHADE OF BROWN|old school|old school
ZAPP & ROGER|rnb / soul|funk
ME'SHELL NDEGEOCELLO|rnb / soul|soul
TO BE CONTINUED...|pop|j-pop
JOHN MICHAEL MONTGOMERRY|country / folk|country
DRS|hip-hop|hip-hop
HI-FIVE|rnb / soul|rnb
DOUG STONE|country / folk|country
GOODMEN|electronic|house
JOHNNY O|freestyle|freestyle
UB40|reggae|reggae
JERU THE DAMAJA|hip-hop|hip-hop
BREEDERS|rock|alternative
ELTON JOHN & KIKI DEE|pop|pop
LEMONHEADS|rock|alternative
ROZALLA|electronic|dance
LISA KEITH|pop|pop
MISTA GRIMM|rnb / soul|g-funk
SALT'N'PEPA|hip-hop|hip-hop
KATE BUSH|pop|female vocalists
BLIND MELON|rock|grunge
RICK ASTLEY|pop|pop
JAZZY JEFF & THE FRESH PRINCE|hip-hop|hip-hop
US3|acid jazz|acid jazz
SOULS OF MISCHIEF|hip-hop|hip-hop
NIGHTCRAWLERS|electronic|house
TAYLOR DAYNE|pop|80s
YOLANDA|pop|pop
RAAB|hip-hop|rap
BELL BIV DEVOE|rnb / soul|new jack swing
MC REN|gangsta rap|gangsta rap
BRYAN ADAMS, ROD STEWART & STING|rock|rock
CLIVE GRIFFIN|pop|pop
TEARS FOR FEARS|rock|new wave
CELINE DION & CLIVE GRIFFIN|pop|pop
BIG DADDY KANE feat SPINDERELLA|hip-hop|hip-hop
DINO|pop|pop
LONNIE GORDON|pop|pop
BIG DADDY KANE feat SPINDERELLA|hip-hop|hip-hop
EARTH, WIND & FIRE|rnb / soul|funk
ILLEGAL|hip-hop|rap
THE PROCLAIMERS|scottish|scottish
D.R.S.|hip-hop|hip-hop
FU-SCHNICKENS & SHAQUILLE O'NEAL|hip-hop|hip-hop
YO-YO|hip-hop|rap
4 NON BLONDES|rock|rock
TERENCE TRENT D'ARBY|rnb / soul|soul
DUICE|hip-hop|hip hop
DARYL HALL|pop|pop
LEGACY OF SOUND|sweden|sweden
DARDEN SMITH|country / folk|singer-songwriter
KENNY G with PEABO BRYSON|jazz|jazz
MC EIHT|gangsta rap|gangsta rap
STEREO MC'S|electronic|electronic
JOEY LAWRENCE|pop|pop
II D EXTREME|pop|90s
LEVERT|rnb / soul|soul
RAVEN-SYMONE|pop|pop
DAVID CROSBY & PHIL COLLINS|pop|pop
CAPTAIN HOLLYWOOD PROJECT|electronic|eurodance
G-WIZ|pop|90s
AC/DC|rock|hard rock
PORNO FOR PYROS|rock|alternative
SNOW|reggae|reggae
STEVE MILLER BAND|rock|classic rock
MC BREED|hip-hop|rap
FU-SCHNICKENS|hip-hop|hip-hop
JORDY|french|french
JOMANDA|electronic|house
BIG DADDY KANE feat. SPINDERELLA|hip-hop|hip-hop
GREEN JELLY|rock|metal
JEREMY JORDAN|pop|pop
RODNEY O & JOE COOLEY|hip-hop|hip-hop
TASMIN ARCHER|pop|pop
REGINA BELLE|rnb / soul|soul
BOY KRAZY|pop|90s
BOSS|hip-hop|rap
1 OF THE GIRLS|pop|pop
YOUNG BLACK TEENAGERS|hip-hop|hip-hop
PAPERBOY|hip-hop|rap
RUN D.M.C.|hip-hop|hip-hop
CHRISTOPHER WILLIAMS|rnb / soul|rnb
PATTY SMYTH|rock|rock
MEN AT LARGE|rnb / soul|rnb
SUNSCREEM|electronic|dance
BOY GEORGE|pop|80s
PRINCE MARKIE DEE|hip-hop|hip-hop
DR. ALBAN|electronic|dance
PROCLAIMERS|scottish|scottish
BIZARRE INC.|rave|rave
UGLY KID JOE|rock|hard rock
FREEDOM WILLIAMS|electronic|electronic
RuPAUL|electronic|dance
NEW BORN|psytrance|psytrance
RESTLESS HEART|country / folk|country
MC NAS-D|hip-hop|hip-hop
TENE WILLIAMS|pop|female vocalists
DAMN YANKEES|rock|hard rock
BOBBY BROWN|rnb / soul|rnb
BIZARRE INC|rave|rave
BALTIMORA|pop|80s
NENEH CHERRY|pop|female vocalists
PRINCE AND THE NEW POWER GENERATION|rnb / soul|funk
DOLLY PARTON|country / folk|country
KENNY G|jazz|jazz
WENDY MOTEN|rnb / soul|soul
PEABO BRYSON|rnb / soul|soul
JEFF HEALEY BAND|rock|blues rock
GO WEST|pop|80s
FUNKDOOBIEST|hip-hop|hip-hop
POSITIVE K|hip-hop|hip-hop
BOBBY ROSS AVILA|pop|80s
SNAP|electronic|eurodance
FAITH NO MORE|rock|alternative rock
MICHAEL COOPER|rnb / soul|soul
REMEDY|hip-hop|hip-hop
WRECKX-N-EFFECT|hip-hop|hip-hop
LO-KEY?|rnb / soul|rnb
CHAKA DEMUS & PLIERS|reggae|reggae
BAD BOYS BLUE|pop|80s
DINA CARROLL|rnb / soul|soul
FLAVOR UNIT MC'S|hip-hop|hip-hop
SYBIL|pop|80s
FATHER M.C.|hip-hop|hip-hop
SOUND FACTORY|electronic|house
MONIE LOVE|hip-hop|hip-hop
JUDE COLE|country / folk|singer-songwriter
RAPINATION & KIM MAZELLE|electronic|house
POISON|rock|hard rock
APACHE|hip-hop|rap
PETER GABRIEL|rock|progressive rock
R. KELLY|rnb / soul|rnb
GENESIS|rock|progressive rock
DOLLY PARTON & FRIENDS|country / folk|country
MARTHA WASH|electronic|dance
ALPHA TEAM|techno|techno
DAN BAIRD|rock|southern rock
PETER CETERA|pop|80s
THE S.O.U.L. S.Y.S.T.E.M.|pop|pop
CATHY DENNIS|pop|pop
MICK JAGGER|rock|rock
VANESSA WILLIAMS & BRIAN McKNIGHT|pop|pop
DEBBIE GIBSON|pop|pop
AB LOGIC|electronic|eurodance
EXTREME|rock|hard rock
N2DEEP|hip-hop|rap
MAD COBRA|electronic|dancehall
CHARLES & EDDIE|rnb / soul|soul
THE HEIGHTS|seen live|seen live
TREY LORENZ|rnb / soul|soul
CLASSIC EXAMPLE|pop|90s
SHAKESPEAR'S SISTER|pop|pop
GODDESS|rock|stoner rock
BAD COMPANY|rock|classic rock
CHUCKII BOOKER|rnb / soul|soul
SAIGON KICK|rock|hard rock
SOUP DRAGONS|rock|alternative
SMART E'S|rave|rave
MEGADETH|rock|thrash metal
GEORGE LAMOND|freestyle|freestyle
DARLENE LOVE|rnb / soul|soul
AL B. SURE!|rnb / soul|rnb
TROOP|rnb / soul|rnb
HOME TEAM|hip-hop|hip-hop
PEABO BRYSON & REGINA BELLE|soundtrack|soundtrack
THE MOVEMENT|seen live|seen live
PRINCE & THE NEW POWER GENERATION|rnb / soul|funk
REMBRANDTS|rock|rock
MC SERCH|hip-hop|hip-hop
S.O.U.L. S.Y.S.T.E.M.|soundtrack|soundtrack
K.W.S.|electronic|dance
MIKI HOWARD|rnb / soul|rnb
TOM COCHRANE|rock|rock
AROUND THE WAY|rnb / soul|rnb
MARKY MARK & THE FUNKY BUNCH|hip-hop|hip-hop
SWING OUT SISTER|pop|pop
UTAH SAINTS|electronic|electronic
NONA GAYE|rnb / soul|soul
SOFIA SHINAS|pop|pop
DAVID SANBORN|jazz|jazz
EPHRAIM LEWIS|mellow|mellow
RHYTHM SYNDICATE|electronic|trance
JOE PUBLIC|pop|90s
VOICES|rock|black metal
COVER GIRLS|freestyle|freestyle
WILSON PHILLIPS|pop|pop
LUTHER VANDROSS & JANET JACKSON|rnb / soul|soul
A.L.T.|hip-hop|hip-hop
BLACK CROWES|rock|rock
SLAUGHTER|rock|thrash metal
QUEEN|rock|classic rock
EAST COAST FAMILY|pop|90s
LIDELL TOWNSELL & M.T.F.|urban|urban
RALPH TRESVANT|rnb / soul|rnb
PETE ROCK & C.L. SMOOTH|hip-hop|hip-hop
MITCH MALLOY|rock|hard rock
MC NAS-D|hip-hop|hip-hop
ME PHI ME|hip-hop|hip hop
B-52'S|rock|new wave
BIG AUDIO DYNAMITE II|rock|alternative
BLACK SHEEP|hip-hop|hip-hop
M.C. BRAINS|hip-hop|rap
COLLEGE BOYZ|hip-hop|rap
TAG|chillout|chillout
STACY EARL|pop|pop
BROTHERHOOD CREED|hip-hop|hip-hop
PRINCE & THE N.P.G.|rnb / soul|funk
NYASIA|freestyle|freestyle
INDIGO GIRLS|country / folk|folk
GOOD 2 GO|pop|90s
GLENN FREY|pop|80s
TKA|freestyle|freestyle
LINEAR|freestyle|freestyle
RTZ|rock|classic rock
OUTFIELD|pop|80s
EDDIE MONEY|rock|classic rock
NIA PEEPLES|female artists|female artists
2ND II NONE|rnb / soul|g-funk
HOWARD JONES|pop|80s
LIDELL TOWNSELL|electronic|house
CHRIS WALKER|rnb / soul|soul
REDHEAD KINGPIN|rnb / soul|rnb
BLACKSHEEP|hip-hop|hip-hop
LAURA ENEA|pop|female vocalists
M.C. LUSCIOUS|miami bass|miami bass
CURTIS STIGERS|jazz|jazz
CHAKA KHAN|rnb / soul|soul
CLUBLAND|electronic|dance
MIDI MAXI & EFTI|pop|pop
GIGGLES|freestyle|freestyle
WILLIAMS BROTHERS|gospel|gospel
KYM SIMS|electronic|house
CELINE DION & PEABO BRYSON|pop|pop
RIGHT SAID FRED|pop|pop
THE KLF|electronic|electronic
RIFF|rock|hard rock
TESLA|rock|hard rock
L.A. GUNS|rock|hard rock
MOCCA SOUL|sgh|sgh
GEOFFREY WILLIAMS|rnb / soul|soul
SMITHEREENS|rock|rock
PAUL YOUNG|pop|80s
KID FROST|hip-hop|rap
LIGHTNING SEEDS|pop|britpop
GEORGE MICHAEL & ELTON JOHN|pop|pop
SHAWN CHRISTOPHER|electronic|house
WARRANT|rock|hard rock
2 HYPED BROTHERS AND A DOG|old school party-hiphop|old school party-hiphop
CHRIS CUEVAS|electronic|house
L.A. STYLE|techno|techno
ARTHUR BAKER|electro|electro
THE SHAMEN|electronic|electronic
DIGITAL UNDERGROUND|hip-hop|hip-hop
TONY TERRY|rnb / soul|soul
LAISSEZ FAIRE|pop|pop
KID'N PLAY|old school|old school
MARKY MARK|pop|90s
ICY BLU|hip-hop|rap
ONE 2 ONE|downtempo|downtempo
DEGREES OF MOTION|electronic|dance
ST. ETIENNE|electronic|electronic
THE PARTY|pop|pop
ERIC B. & RAKIM|hip-hop|hip-hop
THE STORM|rock|hard rock
NATURAL SELECTION|rnb / soul|soul
SCORPIONS|rock|hard rock
ERIN CRUISE|northwest indiana|northwest indiana
ANGELICA|rock|heavy metal
MOTLEY CRUE|rock|hard rock
VOYCE|freestyle|freestyle
DJ JAZZY JEFF & THE FRESH PRINCE|hip-hop|hip-hop
BEBE & CECE WINANS|gospel|gospel
ROBERTA FLACK|rnb / soul|soul
NORTHERN PIKES|canadian|canadian
LITA FORD|rock|hard rock
CHARM|hardcore|hardcore
M.C. BREED & D.F.C.|hip-hop|rap
BETTE MIDLER|pop|female vocalists
TONE-LOC|hip-hop|hip-hop
KENNY LOGGINS|pop|80s
SKID ROW|rock|hard rock
THE FARM|madchester|madchester
MARTIKA|pop|pop
JESUS JONES|rock|alternative
EMF|pop|90s
BLUE TRAIN|acid jazz|acid jazz
CHESNEY HAWKES|pop|pop
JASMINE GUY|pop|90s
JERMAINE JACKSON|rnb / soul|soul
T.P.E.|freestyle|freestyle
RUSS IRWIN|rock|rock
GRANDMASTER SLICE|hip-hop|hip hop
MARC COHN|country / folk|singer-songwriter
BELINDA CARLISLE|pop|pop
K.M.C. KRU|hip-hop|hip-hop
CROWDED HOUSE|rock|rock
SMOKEY ROBINSON|rnb / soul|soul
BAD ENGLISH|rock|hard rock
ROBBIE NEVIL|pop|80s
BILLY FALCON|country / folk|singer-songwriter
THE COMMITMENTS|rnb / soul|soul
SIOUXSIE AND THE BANSHEES|post-punk|post-punk
ESCAPE CLUB|pop|pop
HI-C|hip-hop|rap
RICHIE SAMBORA|rock|rock
DESMOND CHILD|rock|rock
BOB SEGER|rock|classic rock
NATALIE COLE|jazz|jazz
VANILLA ICE|hip-hop|rap
TARA KEMP|pop|90s
KLF|electronic|electronic
TAMI SHOW|chicago|chicago
EX-GIRLFRIEND|girl groups|girl groups
PC QUEST|pop|pop
OR-N-MORE|pop|pop
STEELHEART|rock|hard rock
.38 SPECIAL|rock|southern rock
ZIGGY MARLEY & THE MELODY MAKERS|reggae|reggae
HENRY LEE SUMMER|rock|rock
B.G. THE PRINCE OF RAP|electronic|eurodance
D.J. JAZZY JEFF AND THE FRESH PRINCE|hip-hop|hip-hop
LISA FISCHER|rnb / soul|soul
LISA LISA AND CULT JAM|pop|80s
3RD BASS|hip-hop|hip-hop
PRETTY IN PINK|girl groups|girl groups
CORO|freestyle|freestyle
NELSON|rock|hard rock
THE LA'S|pop|britpop
JINNY|electronic|eurodance
KING OF THE HILL|hardcore|hardcore
YOUNG MC|hip-hop|hip-hop
CUT 'N MOVE|electronic|eurodance
KEEDY|pop|pop
DAVID A. STEWART & CANDY DULFER|jazz|jazz
GERARDO|latin|latin
STEREO MCS|electronic|electronic
THUNDER|rock|hard rock
ALICE COOPER|rock|hard rock
MICHAEL MORALES|aor|aor
SURFACE|japanese|japanese
TITIYO|pop|pop
ANOTHER BAD CREATION|hip-hop|hip-hop
YASMIN|rnb / soul|soul
SANDEE|swiss|swiss
TRIXTER|rock|hard rock
JESSE JAYMES|hip-hop|hip-hop
DAMIAN DAME|rnb / soul|new jack swing
DARYL BRAITHWAITE|pop|80s
ICY BLUE|hip-hop|rap
BLACK BOX|electronic|dance
D'ZYRE|freestyle|freestyle
BINGO BOYS|pop|pop
DAVID HALLYDAY|rock|rock
MICHAEL DAMIAN|pop|pop
FRED SCHNEIDER|rock|new wave
ALIAS|anticon|anticon
KANE ROBERTS|rock|hard rock
STYX|rock|classic rock
BRANDON|seen live|seen live
AFTERSHOCK|rock|metalcore
QUEENSRYCHE|rock|progressive metal
SHEENA EASTON|pop|pop
TROY NEWMAN|country / folk|singer-songwriter
DIVINYLS|rock|new wave
RUDE BOYS|ska|ska
PET SHOP BOYS|pop|synthpop
TRIPLETS|country / folk|folk
YES|rock|progressive rock
THE REBEL PEBBLES|girl groups|girl groups
LATOUR|electronic|electronic
B ANGIE B|rnb / soul|rnb
TIMMY T|pop|90s
ICE-T|hip-hop|hip-hop
CARTOUCHE|electronic|eurodance
DAISY DEE|electronic|eurodance
ROBERT PALMER|pop|80s
FIXX|rock|new wave
MICHEL'LE|rnb / soul|rnb
CHUBB ROCK|hip-hop|hip-hop
CINDERELLA|rock|hard rock
HAPPY MONDAYS|madchester|madchester
STARSHIP|pop|80s
OLETA ADAMS|rnb / soul|soul
TRILOGY|rock|progressive rock
MIKE AND THE MECHANICS|pop|80s
FATHER MC|hip-hop|hip-hop
CANDYMAN|hip-hop|hip-hop
ALEXANDER O'NEAL|rnb / soul|soul
HARRIET|rock|indie rock
GREAT WHITE|rock|hard rock
JELLYFISH|pop|power pop
WINGER|rock|hard rock
SIMPSONS|comedy|comedy
URBAN DANCE SQUAD|crossover|crossover
CHICAGO|rock|classic rock
PEBBLES|pop|80s
DONNY OSMOND|pop|pop
MC HAMMER|hip-hop|hip-hop
SAFIRE|freestyle|freestyle
LITTLE CAESAR|rock|hard rock
ELISA FIORILLO|pop|pop
PEACE CHOIR|hip-hop|hip hop
RIGHTEOUS BROTHERS|pop|oldies
GUYS NEXT DOOR|pop|90s
WILL TO POWER|pop|80s
2NU|spoken word|spoken word
DEEE-LITE|electronic|dance
ZZ TOP|rock|classic rock
JELLYBEAN|electronic|dance
IGGY POP|punk|punk
TWO IN A ROOM|electronic|house
HOUSE OF LORDS|rock|hard rock
GARY MOORE|rock|blues
ADVENTURES OF STEVIE V|electronic|dance
DNA feat SUZANNE VEGA|pop|female vocalists
BREATHE|pop|80s
JON BON JOVI|rock|rock
STEVE WINWOOD|rock|classic rock
JOEY B ELLIS|hip-hop|rap
PAT & MICK|pop|80s
JAMES INGRAM|rnb / soul|soul
BELL BIV DeVOE|rnb / soul|new jack swing
INFORMATION SOCIETY|pop|synthpop
SOHO|electronic|dance
NOTORIOUS|rock|black metal
PAUL SIMON|country / folk|singer-songwriter
AL B SURE !|rnb / soul|rnb
PARTY|rock|rock
DAVID CASSIDY|pop|pop
CONCRETE BLONDE|rock|alternative
CHEAP TRICK|rock|classic rock
SPECIAL GENERATION|romantic ballads|romantic ballads
KYPER|hip-hop|rap
VAUGHAN BROTHERS|rock|blues
VIXEN|rock|hard rock
CYNTHIA & JOHNNY O|freestyle|freestyle
SWEET SENSATION|freestyle|freestyle
BOYS|disco polo|disco polo
CARON WHEELER|rnb / soul|soul
GLENN MEDEIROS|pop|pop
BETTY BOO|pop|pop
REO SPEEDWAGON|rock|classic rock
LONDON QUIREBOYS|rock|hard rock
DENISE LOPEZ|electronic|dance
BISCUIT|rapcore|rapcore
ASIA|rock|progressive rock
GLENN MEDEIROS & RAY PARKER JR.|pop|pop
BRUCE HORNSBY AND THE RANGE|pop|80s
SYDNEY YOUNGBLOOD|pop|pop
BILLY IDOL|rock|rock
SEDUCTION|freestyle|freestyle
GENE LOVES JEZEBEL|rock|gothic rock
MELLOW MAN ACE|hip-hop|rap
WHISPERS|rnb / soul|funk
BEATS INTERNATIONAL|electronic|dance
TRICIA LEIGH FISHER|pop|pop
INDECENT OBSESSION|pop|90s
TIME|rock|psychedelic rock
WEST COAST RAP ALL-STARS|hip-hop|hip-hop
LOUIE LOUIE|lounge|lounge
TIANA|freestyle|freestyle
BROTHER BEYOND|pop|pop
ST. PAUL|seen live|seen live
SEIKO|pop|pop
CALLOWAY|pop|90s
MODERN ENGLISH|rock|new wave
DANGER DANGER|rock|hard rock
JIMMY RYSER|rock|rock
SINEAD O'CONNOR|pop|female vocalists
BANG|rock|hard rock
ELECTRIC BOYS|rock|funk metal
YOUNG & RESTLESS|miami bass|miami bass
49-ERS|electronic|dance
BRAT PACK|seen live|seen live
NIKKI|rock|pop rock
PARTNERS IN KRYME|hip-hop|hip-hop
GIANT|rock|hard rock
ALANNAH MYLES|rock|rock
SOUL II SOUL|rnb / soul|soul
PERFECT GENTLEMEN|seen live|seen live
U-KREW|hip-hop|hip-hop
JANE CHILD|pop|pop
JOEY KID|freestyle|freestyle
A'ME LORAIN|pop|pop
ALISHA|disco|disco
WHISTLE|hip-hop|hip-hop
FASTER PUSSYCAT|rock|hard rock
TOMMY PAGE|pop|pop
KISS|rock|hard rock
HOWARD HEWETT|rnb / soul|soul
ANA|rock|rock
BASIA|jazz|jazz
JOE COCKER|rock|classic rock
D-MOB|acid house|acid house
MICHAEL PENN|country / folk|singer-songwriter
BIZ MARKIE|hip-hop|hip-hop
ELECTRONIC|electronic|electronic
LINDA RONSTADT & AARON NEVILLE|pop|pop
ANDREW RIDGELEY|pop|pop
MICHAEL McDONALD|rnb / soul|soul
WHITESNAKE|rock|hard rock
GORKY PARK|rock|hard rock
YOUNG AND RESTLESS|pop|female vocalists
ROBERT PLANT|rock|classic rock
HI-TEK 3|electronic|house
COREY HART|pop|80s
LAURA BRANIGAN|pop|80s
PETER MURPHY|post-punk|post-punk
LINDA RONSTADT|pop|female vocalists
KAOMA|latin|latin
4 OF US|irish|irish
GRAYSON HUGH|blue eyed soul|blue eyed soul
PAJAMA PARTY|freestyle|freestyle
D-MOB & CATHY DENNIS|pop|pop
LOU GRAMM|rock|rock
ROBNRAZ|electronic|eurodance
JIMMY SOMERVILLE|pop|80s
ANYTHING BOX|pop|synthpop
YOUNG M.C.|hip-hop|hip-hop
ENUFF Z'NUFF|rock|hard rock
MIDNIGHT OIL|rock|rock
McAULEY SCHENKER GROUP|rock|hard rock
SHANA|freestyle|freestyle
INNER CITY|electronic|house
KEVIN PAIGE|pop|pop
PETER WOLF|rock|rock
JAYA|freestyle|freestyle
SKYY|rnb / soul|funk
MILLI VANILLI|pop|80s
JOAN JETT|rock|rock
JOHN FARNHAM|pop|80s
YVONNE|swedish|swedish
XYMOX|darkwave|darkwave
MANTRONIX|hip-hop|hip-hop
FINE YOUNG CANNIBALS|pop|80s
JIVE BUNNY AND THE MASTERMIXERS|jive|jive
BONHAM|rock|hard rock
CHIMES|electronica|electronica
ENTOUCH|rnb / soul|rnb
SA-FIRE|freestyle|freestyle
MARCIA GRIFFITHS|reggae|reggae
POCO|rock|country rock
KIX|rock|hard rock
SARAYA|rock|hard rock
FIONA|aor|aor
ABSTRAC'|rnb / soul|new jack swing
PAUL CARRACK|rock|soft rock
PRINCE & SHEENA EASTON|pop|pop
LOVERBOY|pop|80s
